Time (s),Volt (V)
3.94E-06,9.65E-02
3.94E-06,9.65E-02
3.94E-06,9.70E-02
3.94E-06,9.65E-02
3.95E-06,9.50E-02
3.95E-06,9.45E-02
3.95E-06,9.80E-02
3.95E-06,9.95E-02
3.95E-06,9.70E-02
3.95E-06,9.85E-02
3.95E-06,9.70E-02
3.95E-06,9.45E-02
3.95E-06,9.80E-02
3.95E-06,9.80E-02
3.96E-06,9.85E-02
3.96E-06,9.85E-02
3.96E-06,9.70E-02
3.96E-06,9.70E-02
3.96E-06,9.50E-02
3.96E-06,9.80E-02
3.96E-06,9.70E-02
3.96E-06,9.30E-02
3.96E-06,9.60E-02
3.96E-06,9.80E-02
3.97E-06,9.70E-02
3.97E-06,9.85E-02
3.97E-06,9.55E-02
3.97E-06,9.60E-02
3.97E-06,9.65E-02
3.97E-06,9.60E-02
3.97E-06,9.65E-02
3.97E-06,9.95E-02
3.97E-06,9.70E-02
3.97E-06,9.65E-02
3.98E-06,9.70E-02
3.98E-06,9.85E-02
3.98E-06,9.65E-02
3.98E-06,9.80E-02
3.98E-06,9.85E-02
3.98E-06,9.80E-02
3.98E-06,1.00E-01
3.98E-06,1.01E-01
3.98E-06,1.01E-01
3.98E-06,9.80E-02
3.99E-06,9.85E-02
3.99E-06,9.65E-02
3.99E-06,9.80E-02
3.99E-06,9.80E-02
3.99E-06,9.85E-02
3.99E-06,9.85E-02
3.99E-06,1.00E-01
3.99E-06,1.00E-01
3.99E-06,1.01E-01
3.99E-06,1.03E-01
4.00E-06,1.01E-01
4.00E-06,1.00E-01
4.00E-06,1.00E-01
4.00E-06,9.85E-02
4.00E-06,9.75E-02
4.00E-06,1.00E-01
4.00E-06,9.85E-02
4.00E-06,9.70E-02
4.00E-06,9.65E-02
4.00E-06,9.95E-02
4.01E-06,9.80E-02
4.01E-06,9.85E-02
4.01E-06,9.90E-02
4.01E-06,1.01E-01
4.01E-06,9.70E-02
4.01E-06,9.95E-02
4.01E-06,1.01E-01
4.01E-06,1.01E-01
4.01E-06,1.01E-01
4.01E-06,9.90E-02
4.02E-06,1.01E-01
4.02E-06,1.00E-01
4.02E-06,9.75E-02
4.02E-06,9.65E-02
4.02E-06,9.70E-02
4.02E-06,9.85E-02
4.02E-06,9.50E-02
4.02E-06,9.65E-02
4.02E-06,9.85E-02
4.02E-06,1.01E-01
4.03E-06,9.90E-02
4.03E-06,9.60E-02
4.03E-06,9.80E-02
4.03E-06,9.95E-02
4.03E-06,1.00E-01
4.03E-06,9.85E-02
4.03E-06,9.70E-02
4.03E-06,1.00E-01
4.03E-06,1.01E-01
4.03E-06,1.01E-01
4.04E-06,9.70E-02
4.04E-06,9.60E-02
4.04E-06,9.80E-02
4.04E-06,1.01E-01
4.04E-06,9.90E-02
4.04E-06,9.85E-02
4.04E-06,9.85E-02
4.04E-06,9.65E-02
4.04E-06,9.85E-02
4.04E-06,1.00E-01
4.05E-06,9.70E-02
4.05E-06,9.65E-02
4.05E-06,9.50E-02
4.05E-06,9.80E-02
4.05E-06,1.03E-01
4.05E-06,1.01E-01
4.05E-06,9.65E-02
4.05E-06,9.75E-02
4.05E-06,9.85E-02
4.05E-06,1.00E-01
4.06E-06,9.90E-02
4.06E-06,9.65E-02
4.06E-06,9.80E-02
4.06E-06,9.85E-02
4.06E-06,9.90E-02
4.06E-06,1.00E-01
4.06E-06,9.65E-02
4.06E-06,9.85E-02
4.06E-06,9.75E-02
4.06E-06,9.85E-02
4.07E-06,9.70E-02
4.07E-06,9.80E-02
4.07E-06,9.85E-02
4.07E-06,9.95E-02
4.07E-06,9.85E-02
4.07E-06,1.01E-01
4.07E-06,9.85E-02
4.07E-06,1.00E-01
4.07E-06,1.03E-01
4.07E-06,1.03E-01
4.08E-06,1.01E-01
4.08E-06,1.00E-01
4.08E-06,9.90E-02
4.08E-06,9.70E-02
4.08E-06,9.70E-02
4.08E-06,1.00E-01
4.08E-06,1.02E-01
4.08E-06,1.01E-01
4.08E-06,9.70E-02
4.08E-06,1.00E-01
4.09E-06,1.03E-01
4.09E-06,1.01E-01
4.09E-06,9.70E-02
4.09E-06,9.95E-02
4.09E-06,1.03E-01
4.09E-06,1.01E-01
4.09E-06,1.00E-01
4.09E-06,1.02E-01
4.09E-06,1.01E-01
4.09E-06,9.70E-02
4.10E-06,9.85E-02
4.10E-06,1.01E-01
4.10E-06,1.01E-01
4.10E-06,1.02E-01
4.10E-06,9.90E-02
4.10E-06,9.80E-02
4.10E-06,9.95E-02
4.10E-06,1.00E-01
4.10E-06,9.95E-02
4.10E-06,9.90E-02
4.11E-06,9.85E-02
4.11E-06,1.00E-01
4.11E-06,1.00E-01
4.11E-06,9.85E-02
4.11E-06,1.01E-01
4.11E-06,9.90E-02
4.11E-06,9.75E-02
4.11E-06,1.01E-01
4.11E-06,1.01E-01
4.11E-06,9.85E-02
4.12E-06,9.70E-02
4.12E-06,9.70E-02
4.12E-06,1.00E-01
4.12E-06,9.85E-02
4.12E-06,9.90E-02
4.12E-06,1.01E-01
4.12E-06,9.85E-02
4.12E-06,9.45E-02
4.12E-06,9.65E-02
4.12E-06,9.80E-02
4.13E-06,9.65E-02
4.13E-06,9.65E-02
4.13E-06,9.65E-02
4.13E-06,1.00E-01
4.13E-06,9.70E-02
4.13E-06,9.60E-02
4.13E-06,9.80E-02
4.13E-06,1.00E-01
4.13E-06,9.65E-02
4.13E-06,9.85E-02
4.14E-06,9.55E-02
4.14E-06,9.85E-02
4.14E-06,9.90E-02
4.14E-06,9.50E-02
4.14E-06,9.65E-02
4.14E-06,9.85E-02
4.14E-06,9.70E-02
4.14E-06,9.65E-02
4.14E-06,9.70E-02
4.14E-06,9.65E-02
4.15E-06,9.65E-02
4.15E-06,9.60E-02
4.15E-06,9.45E-02
4.15E-06,9.55E-02
4.15E-06,9.60E-02
4.15E-06,9.50E-02
4.15E-06,9.50E-02
4.15E-06,9.65E-02
4.15E-06,1.00E-01
4.15E-06,9.85E-02
4.16E-06,9.85E-02
4.16E-06,9.85E-02
4.16E-06,9.85E-02
4.16E-06,9.85E-02
4.16E-06,9.70E-02
4.16E-06,9.85E-02
4.16E-06,9.80E-02
4.16E-06,9.80E-02
4.16E-06,9.85E-02
4.16E-06,9.80E-02
4.17E-06,9.85E-02
4.17E-06,9.85E-02
4.17E-06,9.85E-02
4.17E-06,1.00E-01
4.17E-06,9.90E-02
4.17E-06,9.85E-02
4.17E-06,9.85E-02
4.17E-06,9.85E-02
4.17E-06,9.50E-02
4.17E-06,9.65E-02
4.18E-06,1.01E-01
4.18E-06,9.85E-02
4.18E-06,9.85E-02
4.18E-06,9.70E-02
4.18E-06,9.65E-02
4.18E-06,9.65E-02
4.18E-06,9.65E-02
4.18E-06,9.50E-02
4.18E-06,9.55E-02
4.18E-06,9.85E-02
4.19E-06,1.00E-01
4.19E-06,9.95E-02
4.19E-06,9.90E-02
4.19E-06,9.65E-02
4.19E-06,9.65E-02
4.19E-06,1.00E-01
4.19E-06,1.01E-01
4.19E-06,1.01E-01
4.19E-06,1.01E-01
4.19E-06,1.02E-01
4.20E-06,1.01E-01
4.20E-06,1.02E-01
4.20E-06,1.01E-01
4.20E-06,9.85E-02
4.20E-06,9.70E-02
4.20E-06,9.85E-02
4.20E-06,9.85E-02
4.20E-06,9.80E-02
4.20E-06,9.85E-02
4.20E-06,9.65E-02
4.21E-06,9.45E-02
4.21E-06,9.80E-02
4.21E-06,9.90E-02
4.21E-06,9.85E-02
4.21E-06,1.00E-01
4.21E-06,1.00E-01
4.21E-06,1.00E-01
4.21E-06,9.80E-02
4.21E-06,1.00E-01
4.21E-06,9.85E-02
4.22E-06,9.85E-02
4.22E-06,1.00E-01
4.22E-06,1.00E-01
4.22E-06,9.80E-02
4.22E-06,9.85E-02
4.22E-06,1.00E-01
4.22E-06,9.75E-02
4.22E-06,9.80E-02
4.22E-06,1.00E-01
4.22E-06,1.01E-01
4.23E-06,9.90E-02
4.23E-06,1.02E-01
4.23E-06,1.02E-01
4.23E-06,1.00E-01
4.23E-06,9.85E-02
4.23E-06,9.65E-02
4.23E-06,9.70E-02
4.23E-06,9.80E-02
4.23E-06,9.85E-02
4.23E-06,9.80E-02
4.24E-06,9.85E-02
4.24E-06,9.80E-02
4.24E-06,1.01E-01
4.24E-06,9.90E-02
4.24E-06,9.90E-02
4.24E-06,9.85E-02
4.24E-06,9.65E-02
4.24E-06,9.95E-02
4.24E-06,9.70E-02
4.24E-06,9.40E-02
4.25E-06,9.45E-02
4.25E-06,9.80E-02
4.25E-06,9.90E-02
4.25E-06,1.01E-01
4.25E-06,9.70E-02
4.25E-06,9.65E-02
4.25E-06,9.85E-02
4.25E-06,9.85E-02
4.25E-06,9.70E-02
4.25E-06,9.65E-02
4.26E-06,9.70E-02
4.26E-06,9.80E-02
4.26E-06,9.85E-02
4.26E-06,9.85E-02
4.26E-06,9.70E-02
4.26E-06,9.60E-02
4.26E-06,9.65E-02
4.26E-06,9.80E-02
4.26E-06,9.70E-02
4.26E-06,1.01E-01
4.27E-06,1.01E-01
4.27E-06,1.01E-01
4.27E-06,9.85E-02
4.27E-06,9.85E-02
4.27E-06,9.80E-02
4.27E-06,9.90E-02
4.27E-06,9.85E-02
4.27E-06,1.00E-01
4.27E-06,1.01E-01
4.27E-06,1.01E-01
4.28E-06,9.85E-02
4.28E-06,9.80E-02
4.28E-06,9.65E-02
4.28E-06,9.65E-02
4.28E-06,9.70E-02
4.28E-06,9.85E-02
4.28E-06,1.00E-01
4.28E-06,1.02E-01
4.28E-06,9.90E-02
4.28E-06,9.85E-02
4.29E-06,9.85E-02
4.29E-06,9.85E-02
4.29E-06,9.70E-02
4.29E-06,9.80E-02
4.29E-06,9.85E-02
4.29E-06,9.85E-02
4.29E-06,9.85E-02
4.29E-06,9.95E-02
4.29E-06,1.01E-01
4.29E-06,1.01E-01
4.30E-06,1.01E-01
4.30E-06,1.00E-01
4.30E-06,1.01E-01
4.30E-06,1.00E-01
4.30E-06,1.01E-01
4.30E-06,1.00E-01
4.30E-06,1.00E-01
4.30E-06,1.00E-01
4.30E-06,9.75E-02
4.30E-06,1.00E-01
4.31E-06,1.03E-01
4.31E-06,1.01E-01
4.31E-06,9.95E-02
4.31E-06,1.02E-01
4.31E-06,9.70E-02
4.31E-06,9.80E-02
4.31E-06,9.70E-02
4.31E-06,1.00E-01
4.31E-06,9.85E-02
4.31E-06,9.80E-02
4.32E-06,1.00E-01
4.32E-06,1.00E-01
4.32E-06,9.85E-02
4.32E-06,9.80E-02
4.32E-06,9.90E-02
4.32E-06,1.00E-01
4.32E-06,9.90E-02
4.32E-06,9.65E-02
4.32E-06,9.85E-02
4.32E-06,1.00E-01
4.33E-06,1.00E-01
4.33E-06,9.80E-02
4.33E-06,1.00E-01
4.33E-06,1.01E-01
4.33E-06,9.70E-02
4.33E-06,9.80E-02
4.33E-06,9.85E-02
4.33E-06,1.00E-01
4.33E-06,9.70E-02
4.33E-06,9.80E-02
4.34E-06,9.70E-02
4.34E-06,9.85E-02
4.34E-06,9.85E-02
4.34E-06,9.95E-02
4.34E-06,9.90E-02
4.34E-06,9.80E-02
4.34E-06,9.70E-02
4.34E-06,9.65E-02
4.34E-06,9.90E-02
4.34E-06,1.01E-01
4.35E-06,9.90E-02
4.35E-06,9.85E-02
4.35E-06,9.70E-02
4.35E-06,9.65E-02
4.35E-06,9.45E-02
4.35E-06,9.40E-02
4.35E-06,1.00E-01
4.35E-06,1.03E-01
4.35E-06,9.95E-02
4.35E-06,9.50E-02
4.36E-06,9.50E-02
4.36E-06,9.40E-02
4.36E-06,1.00E-01
4.36E-06,1.01E-01
4.36E-06,9.75E-02
4.36E-06,9.65E-02
4.36E-06,9.85E-02
4.36E-06,9.85E-02
4.36E-06,9.90E-02
4.36E-06,9.65E-02
4.37E-06,9.60E-02
4.37E-06,9.65E-02
4.37E-06,9.85E-02
4.37E-06,9.85E-02
4.37E-06,9.70E-02
4.37E-06,9.80E-02
4.37E-06,9.85E-02
4.37E-06,9.65E-02
4.37E-06,9.60E-02
4.37E-06,9.65E-02
4.38E-06,9.55E-02
4.38E-06,9.80E-02
4.38E-06,9.85E-02
4.38E-06,9.80E-02
4.38E-06,9.70E-02
4.38E-06,9.80E-02
4.38E-06,9.85E-02
4.38E-06,9.85E-02
4.38E-06,9.70E-02
4.38E-06,9.65E-02
4.39E-06,9.50E-02
4.39E-06,9.65E-02
4.39E-06,9.85E-02
4.39E-06,9.65E-02
4.39E-06,9.65E-02
4.39E-06,9.65E-02
4.39E-06,9.55E-02
4.39E-06,1.00E-01
4.39E-06,1.01E-01
4.39E-06,9.90E-02
4.40E-06,9.70E-02
4.40E-06,9.80E-02
4.40E-06,1.00E-01
4.40E-06,9.90E-02
4.40E-06,9.70E-02
4.40E-06,9.65E-02
4.40E-06,9.65E-02
4.40E-06,9.80E-02
4.40E-06,9.70E-02
4.40E-06,9.65E-02
4.41E-06,9.65E-02
4.41E-06,9.50E-02
4.41E-06,9.70E-02
4.41E-06,1.01E-01
4.41E-06,9.90E-02
4.41E-06,1.00E-01
4.41E-06,1.00E-01
4.41E-06,1.00E-01
4.41E-06,9.65E-02
4.41E-06,9.65E-02
4.42E-06,9.55E-02
4.42E-06,9.65E-02
4.42E-06,9.80E-02
4.42E-06,9.85E-02
4.42E-06,9.85E-02
4.42E-06,9.80E-02
4.42E-06,9.65E-02
4.42E-06,9.70E-02
4.42E-06,9.55E-02
4.42E-06,9.45E-02
4.43E-06,9.65E-02
4.43E-06,9.60E-02
4.43E-06,9.70E-02
4.43E-06,9.80E-02
4.43E-06,9.65E-02
4.43E-06,9.65E-02
4.43E-06,9.70E-02
4.43E-06,9.80E-02
4.43E-06,1.01E-01
4.43E-06,9.90E-02
4.44E-06,9.70E-02
4.44E-06,9.60E-02
4.44E-06,1.00E-01
4.44E-06,1.02E-01
4.44E-06,1.03E-01
4.44E-06,1.01E-01
4.44E-06,9.90E-02
4.44E-06,9.85E-02
4.44E-06,9.90E-02
4.44E-06,9.80E-02
4.45E-06,9.80E-02
4.45E-06,9.90E-02
4.45E-06,9.55E-02
4.45E-06,9.45E-02
4.45E-06,9.65E-02
4.45E-06,9.80E-02
4.45E-06,9.80E-02
4.45E-06,1.00E-01
4.45E-06,1.01E-01
4.45E-06,9.65E-02
4.46E-06,9.50E-02
4.46E-06,9.80E-02
4.46E-06,9.55E-02
4.46E-06,9.40E-02
4.46E-06,9.30E-02
4.46E-06,9.60E-02
4.46E-06,9.65E-02
4.46E-06,9.80E-02
4.46E-06,9.55E-02
4.46E-06,9.80E-02
4.47E-06,9.85E-02
4.47E-06,9.95E-02
4.47E-06,9.75E-02
4.47E-06,9.60E-02
4.47E-06,9.65E-02
4.47E-06,9.65E-02
4.47E-06,9.70E-02
4.47E-06,9.80E-02
4.47E-06,9.70E-02
4.47E-06,9.45E-02
4.48E-06,9.60E-02
4.48E-06,9.80E-02
4.48E-06,9.70E-02
4.48E-06,9.70E-02
4.48E-06,9.85E-02
4.48E-06,9.85E-02
4.48E-06,1.00E-01
4.48E-06,9.80E-02
4.48E-06,9.85E-02
4.48E-06,9.60E-02
4.49E-06,9.65E-02
4.49E-06,1.00E-01
4.49E-06,1.01E-01
4.49E-06,9.85E-02
4.49E-06,9.90E-02
4.49E-06,9.80E-02
4.49E-06,1.01E-01
4.49E-06,1.00E-01
4.49E-06,9.70E-02
4.49E-06,9.70E-02
4.50E-06,9.70E-02
4.50E-06,9.85E-02
4.50E-06,9.85E-02
4.50E-06,1.02E-01
4.50E-06,1.01E-01
4.50E-06,9.85E-02
4.50E-06,9.65E-02
4.50E-06,1.00E-01
4.50E-06,9.75E-02
4.50E-06,9.80E-02
4.51E-06,9.80E-02
4.51E-06,9.45E-02
4.51E-06,9.60E-02
4.51E-06,9.90E-02
4.51E-06,9.85E-02
4.51E-06,9.65E-02
4.51E-06,9.70E-02
4.51E-06,9.95E-02
4.51E-06,1.03E-01
4.51E-06,1.01E-01
4.52E-06,9.85E-02
4.52E-06,9.85E-02
4.52E-06,9.65E-02
4.52E-06,9.85E-02
4.52E-06,9.95E-02
4.52E-06,1.00E-01
4.52E-06,9.85E-02
4.52E-06,9.85E-02
4.52E-06,9.90E-02
4.52E-06,9.95E-02
4.53E-06,9.65E-02
4.53E-06,9.70E-02
4.53E-06,9.55E-02
4.53E-06,9.80E-02
4.53E-06,9.85E-02
4.53E-06,9.65E-02
4.53E-06,9.65E-02
4.53E-06,9.65E-02
4.53E-06,9.45E-02
4.53E-06,9.65E-02
4.54E-06,9.70E-02
4.54E-06,9.80E-02
4.54E-06,1.01E-01
4.54E-06,9.85E-02
4.54E-06,9.85E-02
4.54E-06,9.65E-02
4.54E-06,9.70E-02
4.54E-06,9.65E-02
4.54E-06,9.70E-02
4.54E-06,9.80E-02
4.55E-06,9.70E-02
4.55E-06,9.65E-02
4.55E-06,9.80E-02
4.55E-06,1.00E-01
4.55E-06,1.00E-01
4.55E-06,9.85E-02
4.55E-06,1.01E-01
4.55E-06,1.03E-01
4.55E-06,1.01E-01
4.55E-06,9.85E-02
4.56E-06,9.75E-02
4.56E-06,9.65E-02
4.56E-06,9.60E-02
4.56E-06,9.65E-02
4.56E-06,9.85E-02
4.56E-06,1.01E-01
4.56E-06,1.03E-01
4.56E-06,9.90E-02
4.56E-06,9.85E-02
4.56E-06,9.95E-02
4.57E-06,1.00E-01
4.57E-06,1.01E-01
4.57E-06,1.01E-01
4.57E-06,1.00E-01
4.57E-06,9.90E-02
4.57E-06,1.00E-01
4.57E-06,1.02E-01
4.57E-06,1.01E-01
4.57E-06,9.70E-02
4.57E-06,9.65E-02
4.58E-06,1.01E-01
4.58E-06,1.01E-01
4.58E-06,9.80E-02
4.58E-06,9.60E-02
4.58E-06,9.65E-02
4.58E-06,9.70E-02
4.58E-06,9.70E-02
4.58E-06,9.65E-02
4.58E-06,9.65E-02
4.58E-06,9.85E-02
4.59E-06,9.70E-02
4.59E-06,9.85E-02
4.59E-06,1.00E-01
4.59E-06,1.00E-01
4.59E-06,9.85E-02
4.59E-06,9.85E-02
4.59E-06,9.85E-02
4.59E-06,9.70E-02
4.59E-06,9.80E-02
4.59E-06,1.02E-01
4.60E-06,1.00E-01
4.60E-06,1.00E-01
4.60E-06,9.70E-02
4.60E-06,9.50E-02
4.60E-06,9.60E-02
4.60E-06,9.95E-02
4.60E-06,9.85E-02
4.60E-06,9.65E-02
4.60E-06,9.80E-02
4.60E-06,9.80E-02
4.61E-06,9.70E-02
4.61E-06,9.65E-02
4.61E-06,9.65E-02
4.61E-06,9.85E-02
4.61E-06,1.01E-01
4.61E-06,1.00E-01
4.61E-06,9.85E-02
4.61E-06,1.00E-01
4.61E-06,1.00E-01
4.61E-06,9.75E-02
4.62E-06,9.70E-02
4.62E-06,9.80E-02
4.62E-06,9.85E-02
4.62E-06,9.85E-02
4.62E-06,9.85E-02
4.62E-06,9.65E-02
4.62E-06,1.00E-01
4.62E-06,1.01E-01
