#,Frequency (Hz),Amplitude (Vpp),Gain (dB),Phase (∞)
1,200000,0.125,28.94,169.66
2,211090.3,0.125,28.85,168.9
3,222795.6,0.125,28.91,168.54
4,235149.9,0.125,28.84,167.67
5,248189.3,0.125,28.84,167.28
6,261951.8,0.125,28.77,167.06
7,276477.4,0.125,28.75,166.65
8,291808.4,0.125,28.75,166.08
9,307989.6,0.125,28.79,165.33
10,325068.1,0.125,28.83,164.93
11,343093.6,0.125,28.8,164.14
12,362118.7,0.125,28.84,163.54
13,382198.7,0.125,28.77,162.19
14,403392.2,0.125,28.92,161.39
15,425760.8,0.125,28.87,160.3
16,449369.9,0.125,28.88,159.24
17,474288.1,0.125,28.93,158.67
18,500588.1,0.125,28.87,156.57
19,528346.4,0.125,28.94,155.57
20,557644,0.125,28.97,154.57
21,588566.2,0.125,29,152.94
22,621203,0.125,29.01,151.31
23,655649.7,0.125,28.98,149.83
24,692006.4,0.125,28.93,147.93
25,730379.2,0.125,29,146.54
26,770879.8,0.125,28.96,144.64
27,813626.2,0.125,28.99,142.22
28,858742.9,0.125,28.97,140.15
29,906361.5,0.125,28.99,137.96
30,956620.5,0.125,29.01,135.32
31,1009666.6,0.125,29.13,133.15
32,1065654,0.125,29.09,130.88
33,1124746.1,0.125,29.02,127.75
34,1187114.9,0.125,29.07,124.94
35,1252942.2,0.125,29.15,122.13
36,1322419.7,0.125,29.09,117.93
37,1395749.8,0.125,29.14,115.52
38,1473146.1,0.125,29.14,111.08
39,1554834.2,0.125,29.16,106.91
40,1641052.1,0.125,29.23,103.02
41,1732050.8,0.125,29.15,99.88
42,1828095.6,0.125,29.2,94.92
43,1929466.1,0.125,29.17,89.84
44,2036457.8,0.125,29.23,84.63
45,2149382.4,0.125,29.22,78.82
46,2268568.8,0.125,29.36,73.03
47,2394364.3,0.125,29.39,67.86
48,2527135.3,0.125,29.63,62.3
49,2667268.6,0.125,29.76,55.37
50,2815172.6,0.125,29.78,47.63
51,2971278,0.125,29.99,39.86
52,3136039.7,0.125,30.19,30.14
53,3309937.7,0.125,30.53,19.77
54,3493478.6,0.125,30.95,8.87
55,3687197.1,0.125,31.18,-4.03
56,3891657.5,0.125,31.63,-17.59
57,4107455.6,0.125,31.85,-34.88
58,4335220,0.125,31.97,-58.72
59,4575614.3,0.125,30.7,-79.91
60,4829338.8,0.125,28.69,-104.76
61,5097132.7,0.125,26.2,-124.8
62,5379776.2,0.125,23.01,-139.78
63,5678092.7,0.125,20.45,-152.63
64,5992951.2,0.125,17.91,-165.11
65,6325269.1,0.125,15.97,185.76
66,6676014.5,0.125,13.4,174.73
67,7046209.3,0.125,11.6,161.89
68,7436931.9,0.125,9.55,151.82
69,7849320.6,0.125,6.96,137.03
70,8284576.9,0.125,5.24,124.39
71,8743968.8,0.125,2.58,109.56
72,9228834.7,0.125,0.21,98.75
73,9740587.1,0.125,-2.45,81.62
74,10280716.9,0.125,-4.94,75.71
75,10850797.6,0.125,-7.68,54.02
76,11452490.2,0.125,-9.57,48.75
77,12087547.6,0.125,-11.79,36.6
78,12757819.7,0.125,-16.32,26.57
79,13465259.5,0.125,-18.27,-8.48
80,14211927.8,0.125,-17.91,-14.23
81,15000000,0.125,-31.03,-53.68