Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,
1000000,0.257718149,0.700803197,0.700803197,,,,
15995000,0.09195324,-15.94945946,-15.94945946,,,,
30990000,0.092542363,-31.35263059,-31.35263059,,-27.48771663,-178.026364,-3.107146204
45985000,0.283589677,-43.88374901,-43.88374901,,,,
60980000,0.054233591,-55.42862534,-55.42862534,,,,
75975000,-0.555843659,-70.8891219,-70.8891219,,,,
90970000,-0.538277487,-86.47205149,-86.47205149,,,,
105965000,-0.518831657,-102.4588657,-102.4588657,,,,
120960000,-0.061191365,-113.7331343,-113.7331343,,,,
135955000,-0.331400549,-125.0847553,-125.0847553,,,,
150950000,-0.687686564,-138.4839612,-138.4839612,,,,
165945000,-0.900744042,-153.1591475,-153.1591475,,,,
180940000,-0.638399904,-165.7916368,-165.7916368,,,,
195935000,-0.582497261,-177.1549852,-177.1549852,,,,
210930000,-0.786800003,170.5744147,-189.4255853,,,,
225925000,-1.141401203,156.7058025,-203.2941975,,,,
240920000,-0.962032738,144.3064714,-215.6935286,,,,
255915000,-0.809423845,128.4242726,-231.5757274,,,,
270910000,-0.494855881,118.7224525,-241.2775475,,,,
285905000,-0.622996506,104.2198397,-255.7801603,,,,
300900000,-0.266713296,96.09761464,-263.9023854,,,,
315895000,-1.114774569,85.32796604,-274.672034,,,,
330890000,-1.167014858,71.32269078,-288.6773092,,,,
345885000,-1.640845925,56.73373682,-303.2662632,,,,
360880000,-1.612275907,42.97408214,-317.0259179,,,,
375875000,-1.857334358,28.81930659,-331.1806934,,,,
390870000,-1.976281235,14.85558694,-345.1444131,,,,
405865000,-2.076115451,2.360238087,-357.6397619,,,,
420860000,-2.367098007,-12.09327435,-372.0932744,,,,
435855000,-2.679573772,-26.8359266,-386.8359266,,,,
450850000,-2.447338456,-41.5642601,-401.5642601,,,,
465845000,-2.730623953,-53.1202561,-413.1202561,,,,
480840000,-2.979106605,-65.95320305,-425.9532031,,,,
495835000,-3.49165294,-79.54687684,-439.5468768,,,,
510830000,-4.065770469,-94.36430436,-454.3643044,,,,
525825000,-4.018791145,-110.423509,-470.423509,,,,
540820000,-3.871489395,-125.7724104,-485.7724104,,,,
555815000,-3.686906969,-139.0026853,-499.0026853,,,,
570810000,-3.564838132,-150.7853245,-510.7853245,,,,
585805000,-3.977981395,-163.5646416,-523.5646416,,,,
600800000,-3.761646263,-176.148785,-536.148785,,,,
615795000,-3.736038768,168.1284978,-551.8715022,,,,
630790000,-3.649107547,155.8927853,-564.1072147,,,,
645785000,-3.60243935,145.5670795,-574.4329205,,,,
660780000,-3.754421953,134.5691289,-585.4308711,,,,
675775000,-4.379905765,121.6982126,-598.3017874,,,,
690770000,-4.510845078,107.5799095,-612.4200905,,,,
705765000,-4.556039751,95.00457088,-624.9954291,,,,
720760000,-4.394876783,83.55780142,-636.4421986,,,,
735755000,-4.49780774,74.38825233,-645.6117477,,,,
750750000,-4.944956396,63.79999711,-656.2000029,,,,
765745000,-5.643644511,48.19513287,-671.8048671,,,,
780740000,-5.755242398,33.46183055,-686.5381695,,,,
795735000,-5.998181708,21.12696221,-698.8730378,,,,
810730000,-5.931186238,11.08680213,-708.9131979,,,,
825725000,-6.588894151,-0.875837328,-720.8758373,,,,
840720000,-7.027478871,-11.48957496,-731.489575,,,,
855715000,-7.287865225,-26.61404088,-746.6140409,,,,
870710000,-7.763661509,-38.8057065,-758.8057065,,,,
885705000,-7.983627333,-49.17696331,-769.1769633,,,,
900700000,-8.053288429,-65.56966199,-785.569662,,,,
915695000,-9.187894035,-74.31603258,-794.3160326,,,,
930690000,-9.260705974,-93.33350887,-813.3335089,,,,
945685000,-10.0697371,-107.0151578,-827.0151578,,,,
960680000,-10.16485067,-121.6407795,-841.6407795,,,,
975675000,-10.05439402,-137.6808947,-857.6808947,,,,
990670000,-9.94852969,-150.9746637,-870.9746637,,,,
1005665000,-10.07984238,-163.8527263,-883.8527263,,,,
1020660000,-10.11483651,-177.0952848,-897.0952848,,,,
1035655000,-10.21380553,167.5053852,-912.4946148,,,,
1050650000,-9.329538536,155.1940379,-924.8059621,,,,
1065645000,-9.482398737,147.4375485,-932.5624515,,,,
1080640000,-9.36623959,134.4881899,-945.5118101,,,,
1095635000,-10.30801037,125.0228186,-954.9771814,,,,
1110630000,-9.537769747,113.2311438,-966.7688562,,,,
1125625000,-9.738249012,99.60477471,-980.3952253,,,,
1140620000,-9.699442475,89.54324951,-990.4567505,,,,
1155615000,-10.49108338,79.90137259,-1000.098627,,,,
1170610000,-10.77900286,69.71518388,-1010.284816,,,,
1185605000,-11.50934862,56.03896514,-1023.961035,,,,
1200600000,-11.1208846,43.62180244,-1036.378198,,,,
1215595000,-11.77101141,34.43079037,-1045.56921,,,,
1230590000,-12.09404569,24.96714793,-1055.032852,,,,
1245585000,-11.49706075,17.87103787,-1062.128962,,,,
1260580000,-13.34952287,4.228713312,-1075.771287,,,,
1275575000,-13.44436578,-6.267703578,-1086.267704,,,,
1290570000,-14.44698045,-9.069975368,-1089.069975,,,,
1305565000,-14.61791694,-25.0831138,-1105.083114,,,,
1320560000,-16.13634462,-29.71677537,-1109.716775,,,,
1335555000,-15.8696568,-44.6703764,-1124.670376,,,,
1350550000,-18.78151825,-50.35973326,-1130.359733,,,,
1365545000,-21.48610592,-58.34008903,-1138.340089,,,,
1380540000,-21.53856865,-83.82562243,-1163.825622,,,,
1395535000,-21.70044574,-75.15913135,-1155.159131,,,,
1410530000,-20.23957471,-99.40529508,-1179.405295,,,,
1425525000,-23.01607959,-103.0337595,-1183.03376,,,,
1440520000,-25.47333256,-128.1285962,-1208.128596,,,,
1455515000,-27.2253382,-157.0516889,-1237.051689,,,,
1470510000,-27.48771663,-178.026364,-1258.026364,,,,
1485505000,-26.08697528,156.7999702,-1283.20003,,,,
1500500000,-24.30704864,129.6325634,-1310.367437,,,,
1515495000,-24.50557322,127.0782407,-1312.921759,,,,
1530490000,-22.26179741,128.5064127,-1311.493587,,,,
1545485000,-23.19843082,105.4637164,-1334.536284,,,,
1560480000,-20.05873056,86.18725063,-1353.812749,,,,
1575475000,-20.80332707,113.1643279,-1326.835672,,,,
1590470000,-21.37829728,111.8716182,-1328.128382,,,,
1605465000,-25.04180222,85.81628507,-1354.183715,,,,
1620460000,-26.00556584,95.11750079,-1344.882499,,,,
1635455000,-21.94632008,74.50237957,-1365.49762,,,,
1650450000,-19.75576521,61.53043255,-1378.469567,,,,
1665445000,-20.01765211,68.64669452,-1371.353305,,,,
1680440000,-20.12668132,52.89931101,-1387.100689,,,,
1695435000,-18.76276628,50.30938489,-1389.690615,,,,
1710430000,-17.85757841,36.32300105,-1403.676999,,,,
1725425000,-19.0075782,43.82274689,-1396.177253,,,,
1740420000,-17.30727604,40.33123563,-1399.668764,,,,
1755415000,-19.00532939,35.73586746,-1404.264133,,,,
1770410000,-19.75615131,24.0989277,-1415.901072,,,,
1785405000,-17.65329628,4.826571857,-1435.173428,,,,
1800400000,-16.02957243,10.28613114,-1429.713869,,,,
1815395000,-15.97270505,-4.462975152,-1444.462975,,,,
1830390000,-15.41225052,-3.630198474,-1443.630198,,,,
1845385000,-17.40159183,-25.61455032,-1465.61455,,,,
1860380000,-17.70692326,-27.99354431,-1467.993544,,,,
1875375000,-18.13258817,-42.3909532,-1482.390953,,,,
1890370000,-17.53505248,-63.92438533,-1503.924385,,,,
1905365000,-16.83008082,-58.88122364,-1498.881224,,,,
1920360000,-18.88854711,-61.83948291,-1501.839483,,,,
1935355000,-17.00805193,-79.30850402,-1519.308504,,,,
1950350000,-17.97789502,-88.07527638,-1528.075276,,,,
1965345000,-19.78395557,-106.3211071,-1546.321107,,,,
1980340000,-16.81862172,-126.0372284,-1566.037228,,,,
1995335000,-17.70695763,-147.0699831,-1587.069983,,,,
2010330000,-15.58959923,-148.2639799,-1588.26398,,,,
2025325000,-16.7081445,-152.8522488,-1592.852249,,,,
2040320000,-15.43877924,170.6346653,-1629.365335,,,,
2055315000,-15.96062456,-177.16151,-1617.16151,,,,
2070310000,-19.05035671,163.0475161,-1636.952484,,,,
2085305000,-18.81666713,139.6153246,-1660.384675,,,,
2100300000,-17.42587734,123.866774,-1676.133226,,,,
2115295000,-14.03131297,110.6749702,-1689.32503,,,,
2130290000,-14.02411238,118.7732211,-1681.226779,,,,
2145285000,-14.89233311,87.77155423,-1712.228446,,,,
2160280000,-14.57482742,81.36105435,-1718.638946,,,,
2175275000,-13.97744608,66.34765003,-1733.65235,,,,
2190270000,-12.62426678,39.48543378,-1760.514566,,,,
2205265000,-13.70553809,37.71291032,-1762.28709,,,,
2220260000,-11.90420945,20.09217811,-1779.907822,,,,
2235255000,-12.27136726,18.09697397,-1781.903026,,,,
2250250000,-12.45077607,10.09296303,-1789.907037,,,,
2265245000,-11.32613526,-9.264241817,-1809.264242,,,,
2280240000,-11.45796627,-18.78620002,-1818.7862,,,,
2295235000,-11.74459153,-30.73867281,-1830.738673,,,,
2310230000,-13.81464801,-50.51616611,-1850.516166,,,,
2325225000,-11.27767536,-54.23153899,-1854.231539,,,,
2340220000,-11.58633053,-79.39638022,-1879.39638,,,,
2355215000,-11.43925108,-83.36163688,-1883.361637,,,,
2370210000,-12.74263511,-95.41070176,-1895.410702,,,,
2385205000,-11.68984804,-101.6917269,-1901.691727,,,,
2400200000,-12.0615664,-114.4385026,-1914.438503,,,,
2415195000,-9.578359063,-123.396549,-1923.396549,,,,
2430190000,-10.21201642,-135.883206,-1935.883206,,,,
2445185000,-10.48465981,-155.3381621,-1955.338162,,,,
2460180000,-10.62057317,-149.9924801,-1949.99248,,,,
2475175000,-10.4105102,-176.9785812,-1976.978581,,,,
2490170000,-9.697078895,173.8741346,-1986.125865,,,,
2505165000,-10.08312998,163.2568925,-1996.743108,,,,
2520160000,-9.959622233,137.2369641,-2022.763036,,,,
2535155000,-10.25606337,127.4875234,-2032.512477,,,,
2550150000,-9.253573776,126.6509371,-2033.349063,,,,
2565145000,-10.98159976,107.1316416,-2052.868358,,,,
2580140000,-9.656610888,93.66546765,-2066.334532,,,,
2595135000,-9.471705396,68.81181522,-2091.188185,,,,
2610130000,-8.85044341,65.77528161,-2094.224718,,,,
2625125000,-9.599684697,38.49707388,-2121.502926,,,,
2640120000,-11.18945806,31.96326788,-2128.036732,,,,
2655115000,-11.07069888,-5.282106222,-2165.282106,,,,
2670110000,-7.772170883,4.588948785,-2155.411051,,,,
2685105000,-8.383810875,-31.51557531,-2191.515575,,,,
2700100000,-8.412459982,-37.94967629,-2197.949676,,,,
2715095000,-7.436752293,-59.53363535,-2219.533635,,,,
2730090000,-7.832776336,-43.71161779,-2203.711618,,,,
2745085000,-5.442837732,-69.77852484,-2229.778525,,,,
2760080000,-10.8019699,-100.5094706,-2260.509471,,,,
2775075000,-12.36089572,-90.86413865,-2250.864139,,,,
2790070000,-1.940127982,-96.96592624,-2256.965926,,,,
2805065000,-5.914483795,-96.11655282,-2256.116553,,,,
2820060000,-9.807942882,-117.7816556,-2277.781656,,,,
2835055000,-8.831374828,-138.8199129,-2298.819913,,,,
2850050000,-5.224214712,-157.5852153,-2317.585215,,,,
2865045000,-9.104587066,-150.2562429,-2310.256243,,,,
2880040000,-8.207352917,-173.9796984,-2333.979698,,,,
2895035000,-7.33326781,-176.2111966,-2336.211197,,,,
2910030000,-6.627783648,-172.3729011,-2332.372901,,,,
2925025000,-7.950482404,161.3761017,-2358.623898,,,,
2940020000,-8.603916247,132.4281074,-2387.571893,,,,
2955015000,-7.571099509,123.6871186,-2396.312881,,,,
2970010000,-4.440466211,114.1076597,-2405.89234,,,,
2985005000,-8.137086403,59.26343816,-2460.736562,,,,
3000000000,-6.821581562,77.79184094,-2442.208159,,,,